Palavra,Frequência,Separação
leve,522,'le-ve
querido,521,que-'ri-do
aceitar,520,a-cei-'tar
cristo,520,'cris-to
alguma,519,al-'gu-ma
jogar,518,jo-'gar
cachorro,518,ca-'chor-ro
palavra,517,pa-'la-vra
remédio,517,re-'mé-di-o
baixo,517,'bai-xo
tchau,515,'tchau
roça,512,'ro-ça
família,510,fa-'mí-li-a
carta,510,'car-ta
espaço,510,es-'pa-ço
acha,509,'a-cha
cruel,508,cru-'el
tiro,507,'ti-ro
areia,507,a-'rei-a
depressa,506,de-'pres-sa
viagem,506,vi-'a-gem
tento,506,'ten-to
sede,504,'se-de
virar,503,vi-'rar
fazenda,503,fa-'zen-da
carente,503,ca-'ren-te
enlouquecer,503,en-lou-que-'cer
perdoar,500,per-do-'ar
branco,499,'bran-co
correr,498,cor-'rer
machuca,498,ma-'chu-ca
cura,497,'cu-ra
segura,496,se-'gu-ra
companheiro,492,com-pa-'nhei-ro
mandar,491,man-'dar
doido,491,'doi-do
impossível,491,im-pos-'sí-vel
verdadeiro,490,ver-da-'dei-ro
mágoa,490,'má-go-a
paraíso,489,pa-ra-'í-so
saí,487,sa-'í
juízo,487,ju-'í-zo
caipira,486,cai-'pi-ra
sincero,484,sin-'ce-ro
ninho,482,'ni-nho
sinal,482,si-'nal
perceber,482,per-ce-'ber
bastante,479,bas-'tan-te
pão,478,'pão
ajudar,478,a-ju-'dar
vitória,477,vi-'tó-ri-a
doente,474,do-'en-te
saia,472,'sai-a
rola,471,'ro-la
fome,471,'fo-me
namorada,470,na-mo-'ra-da
valeu,469,va-'leu
curtir,469,cur-'tir
braço,468,'bra-ço
inocente,468,i-no-'cen-te
demora,467,de-'mo-ra
brincadeira,466,brin-ca-'dei-ra
marido,465,ma-'ri-do
explicar,459,ex-pli-'car
viva,458,'vi-va
rapaz,457,ra-'paz
colo,457,'co-lo
zé,457,'zé
basta,457,'bas-ta
baile,456,'bai-le
segunda,455,se-'gun-da
gritar,455,gri-'tar
sul,455,'sul
garçom,455,'gar-çom
queira,454,'quei-ra
puro,452,'pu-ro
tum,450,'tum
obrigado,448,o-bri-'ga-do
erro,446,'er-ro
entrega,446,en-'tre-ga
muda,445,'mu-da
luta,445,'lu-ta
porteira,445,por-'tei-ra
uê,445,u-'ê
quebrar,443,que-'brar
foto,443,'fo-to
praia,442,'prai-a
real,441,re-'al
trago,440,'tra-go
calma,440,'cal-ma
rainha,438,ra-'i-nha
busca,437,'bus-ca
sombra,436,'som-bra
continuar,435,con-ti-nu-'ar
novamente,434,no-va-'men-te
alegre,434,a-'le-gre
terminar,432,ter-mi-'nar
fonte,432,'fon-te
cinco,431,'cin-co
aprender,431,a-pren-'der
arrepender,431,ar-re-pen-'der
doutor,430,dou-'tor
resto,429,'res-to
papel,428,pa-'pel
brilhar,428,bri-'lhar
i,428,'i
gelada,427,ge-'la-da
dez,426,'dez
veneno,426,ve-'ne-no
disso,426,'dis-so
branca,424,'bran-ca
liberdade,424,li-ber-'da-de
segurar,423,se-gu-'rar
norte,422,'nor-te
doer,422,do-'er
berrante,421,ber-'ran-te
fiel,418,fi-'el
começar,417,co-me-'çar
desprezo,416,des-'pre-zo
larga,416,'lar-ga
mina,415,'mi-na
feia,414,'fei-a
guarda,411,'guar-da
forma,410,'for-ma
conto,410,'con-to
baby,408,'ba-by
negar,407,ne-'gar
grosso,406,'gros-so
conversa,404,con-'ver-sa
retrato,404,re-'tra-to
farra,404,'far-ra
estado,403,es-'ta-do
rancho,403,'ran-cho
eterno,403,e-'ter-no
contente,402,con-'ten-te
sexta,402,'sex-ta
sete,401,'se-te
conquistar,400,con-quis-'tar
brasileiro,398,bra-si-'lei-ro
algo,398,'al-go
dom,397,'dom
perguntar,397,per-gun-'tar
mala,394,'ma-la
milagre,392,mi-'la-gre
vestido,392,ves-'ti-do
olhe,390,'o-lhe
trazer,390,tra-'zer
galo,389,'ga-lo
imagem,389,i-'ma-gem
solta,388,'sol-ta
carreiro,387,car-'rei-ro
vencer,387,ven-'cer
vivi,386,vi-'vi
bandido,386,ban-'di-do
preso,385,'pre-so
lágrima,385,'lá-gri-ma
lei,385,'lei
perdida,385,per-'di-da
caminhão,383,ca-mi-'nhão
sanfona,382,san-'fo-na
rico,380,'ri-co
domingo,379,do-'min-go
conversar,378,con-ver-'sar
acaso,377,a-'ca-so
vagabundo,376,va-ga-'bun-do
maldade,375,mal-'da-de
quebra,375,'que-bra
sertanejo,374,ser-ta-'ne-jo
preço,374,'pre-ço
romance,374,ro-'man-ce
certa,373,'cer-ta
crer,373,'crer
diante,373,di-'an-te
raiva,373,'rai-va
deserto,373,de-'ser-to
tipo,370,'ti-po
última,369,'úl-ti-ma
apaixonada,368,a-pai-xo-'na-da
mineiro,368,mi-'nei-ro
magia,367,ma-'gi-a
grita,367,'gri-ta
levantar,366,le-van-'tar
pequena,365,pe-'que-na
rádio,364,'rá-di-o
travesseiro,364,tra-ves-'sei-ro
afim,363,a-'fim
palma,362,'pal-ma
amizade,361,a-mi-'za-de
desesperado,361,de-ses-pe-'ra-do
país,360,pa-'ís
ternura,359,ter-'nu-ra
apaga,357,a-'pa-ga
forró,357,for-'ró
tempestade,356,tem-pes-'ta-de
arrasta,355,ar-'ras-ta
vazia,355,va-'zi-a
troco,355,'tro-co
boteco,355,bo-'te-co
riqueza,354,ri-'que-za
vinha,354,'vi-nha
fingir,354,fin-'gir
queima,354,'quei-ma
isto,352,'is-to
desculpa,352,des-'cul-pa
passarinho,352,pas-sa-'ri-nho
toa,352,'to-a
casinha,351,ca-'si-nha
mete,351,'me-te
pouquinho,350,pou-'qui-nho
música,349,'mú-si-ca
sereno,348,se-'re-no
simplesmente,348,sim-ples-'men-te
normal,348,nor-'mal
espora,345,es-'po-ra
vinho,345,'vi-nho
esposa,344,es-'po-sa
minuto,343,mi-'nu-to
confusão,342,con-fu-'são
imaginar,341,i-ma-gi-'nar
solução,340,so-lu-'ção
ausência,340,au-'sên-ci-a
parada,339,pa-'ra-da
namorado,338,na-mo-'ra-do
campeão,338,cam-pe-'ão
brilha,338,'bri-lha
claro,337,'cla-ro
portão,336,por-'tão
pequeno,336,pe-'que-no
infinito,335,in-fi-'ni-to
tenta,335,'ten-ta
interior,334,in-te-ri-'or
culpado,334,cul-'pa-do
burro,333,'bur-ro
pagode,333,pa-'go-de
avião,333,a-vi-'ão
casal,332,ca-'sal
show,332,'show
dedo,331,'de-do
abandonado,331,a-ban-do-'na-do
prender,331,pren-'der
mudo,331,'mu-do
paga,331,'pa-ga
fama,330,'fa-ma
oração,329,o-ra-'ção
pronto,329,'pron-to
via,329,'vi-a
morada,328,mo-'ra-da
mando,328,'man-do
aceito,327,a-'cei-to
clima,327,'cli-ma
compromisso,326,com-pro-'mis-so
loira,326,'loi-ra
eh,326,'eh
trabalhar,325,tra-ba-'lhar
ajuda,325,a-'ju-da
couro,325,'cou-ro
encanto,324,en-'can-to
arrancar,324,ar-ran-'car
acordo,324,a-'cor-do
marca,323,'mar-ca
atender,323,a-ten-'der
troca,322,'tro-ca
vinte,322,'vin-te
cabocla,322,ca-'bo-cla
roda,322,'ro-da
onda,322,'on-da
rede,322,'re-de
escrito,321,es-'cri-to
terreiro,321,ter-'rei-ro
duro,320,'du-ro
natal,319,na-'tal
brisa,319,'bri-sa
brigar,319,bri-'gar
gole,319,'go-le
presença,319,pre-'sen-ça
parado,318,pa-'ra-do
abrigo,317,a-'bri-go
aparecer,317,a-pa-re-'cer
fera,316,'fe-ra
ingrata,315,in-'gra-ta
separar,315,se-pa-'rar
viajar,315,vi-a-'jar
pula,314,'pu-la
errada,314,er-'ra-da
jantar,314,jan-'tar
mistério,312,mis-'té-ri-o
fã,312,'fã
piedade,311,pi-e-'da-de
traição,311,trai-'ção
adorar,311,a-do-'rar
sabiá,311,sa-bi-'á
maluco,311,ma-'lu-co
pressa,310,'pres-sa
besteira,310,bes-'tei-ra
batom,309,'ba-tom
fumaça,308,fu-'ma-ça
ouvido,308,ou-'vi-do
devagar,307,de-va-'gar
linha,307,'li-nha
caminhar,307,ca-mi-'nhar
vermelho,307,ver-'me-lho
ave,307,'a-ve
escola,306,es-'co-la
comer,306,co-'mer
mensagem,305,men-'sa-gem
respeito,305,res-'pei-to
ferido,304,fe-'ri-do
inverno,304,in-'ver-no
último,303,'úl-ti-mo
